geoid,geoid_str,load
060014088001,"1 (Tract 4088, Alameda, CA)",69.24000139236452
060014089001,"1 (Tract 4089, Alameda, CA)",74.56000084877017
060014090001,"1 (Tract 4090, Alameda, CA)",188.7200019299982
060014091001,"1 (Tract 4091, Alameda, CA)",115.00799881219865
060014092001,"1 (Tract 4092, Alameda, CA)",224.80000319480877
060014093001,"1 (Tract 4093, Alameda, CA)",82.36000096797945
060014094001,"1 (Tract 4094, Alameda, CA)",73.84800331592561
060014095001,"1 (Tract 4095, Alameda, CA)",78.96000242233278
060014096001,"1 (Tract 4096, Alameda, CA)",50.120000648498554
060014097001,"1 (Tract 4097, Alameda, CA)",57.28000214099886
060014098001,"1 (Tract 4098, Alameda, CA)",79.68000040054324
060014099001,"1 (Tract 4099, Alameda, CA)",7.200000000000001
060014100001,"1 (Tract 4100, Alameda, CA)",57.72000126242635
060014101001,"1 (Tract 4101, Alameda, CA)",49.280000376701366
060014102001,"1 (Tract 4102, Alameda, CA)",185.99200072288514
060014103001,"1 (Tract 4103, Alameda, CA)",63.28000011444094
060014104001,"1 (Tract 4104, Alameda, CA)",99.68000403642657
060014105001,"1 (Tract 4105, Alameda, CA)",72.72000164985656
060014201001,"1 (Tract 4201, Alameda, CA)",123.52000026702866
060014202001,"1 (Tract 4202, Alameda, CA)",129.800000846386
060014203011,"1 (Tract 4203.01, Alameda, CA)",132.48000233173374
060014203021,"1 (Tract 4203.02, Alameda, CA)",159.2400026202202
060014204011,"1 (Tract 4204.01, Alameda, CA)",26.159999847412116
060014204021,"1 (Tract 4204.02, Alameda, CA)",34.920000076293945
060014205001,"1 (Tract 4205, Alameda, CA)",58.00000306963921
060014206001,"1 (Tract 4206, Alameda, CA)",79.88000032603742
060014211001,"1 (Tract 4211, Alameda, CA)",42.9600007891655
060014212001,"1 (Tract 4212, Alameda, CA)",46.86400008201601
060014213001,"1 (Tract 4213, Alameda, CA)",102.84000106751908
060014214001,"1 (Tract 4214, Alameda, CA)",100.04000015258784
060014215001,"1 (Tract 4215, Alameda, CA)",109.87999935150135
060014216001,"1 (Tract 4216, Alameda, CA)",69.00000249147416
060014217001,"1 (Tract 4217, Alameda, CA)",82.68000046014788
060014218001,"1 (Tract 4218, Alameda, CA)",62.32000138759614
060014219001,"1 (Tract 4219, Alameda, CA)",38.3200033068657
